################################## JSON file used at runtime    ###################################################################
### certifiedGolden_11mar2020_2016_2017_2018.json
################################## NO systematics used at runtime ###################################################################
################################## Preliminary Cut Values ###################################################################
########################### variableName                        value1          value2          value3          value4          level
### Preliminary cut values: produceSkim          1                 -               -               -               -1
### Preliminary cut values: eleEta_bar            	1.4442        -                    -               -               -1
### Preliminary cut values: eleEta_end1            	1.566        2.0                  -               -               -1
### Preliminary cut values: eleEta_end2            	2.000        2.5                  -               -               -1
### Preliminary cut values: QCDFakeRateFileName		/afs/cern.ch/user/e/eipearso/public/plotsToShare/fr2D_2018.root	- - - -1
### Preliminary cut values: TriggerSFFileName   egammaEffi.txt_EGM2D.root  - - - -1
### Preliminary cut values: RecoSFFileName /afs/cern.ch/user/s/scooper/work/public/Leptoquarks/egammaRecoSF/2018/egammaEffi.txt_EGM2D_updatedAll.root  - - - -1
### Preliminary cut values: AnalysisYear   2018  - - - -1
### Preliminary cut values: BTagAlgo       DeepJet  - - - -1
### Preliminary cut values: BTagWP         Medium   - - - -1
### Preliminary cut values: BTagCutValue   0.2770   - - - -1
################################## Cuts #########################################################################################################################################################################################################################
#id                       variableName                min1                max1                min2                max2               level                   N               Npass              EffRel           errEffRel              EffAbs           errEffAbs
 37                           Jet3_Phi                -inf                +inf                   -                   -                   1             13.6042             13.6042              1.0000          0.0000e+00          1.0172e-06          2.7186e-07
 38                        DR_Ele1Jet1                -inf                +inf                   -                   -                   1             13.6042             13.6042              1.0000          0.0000e+00          1.0172e-06          2.7186e-07
 39                        DR_Ele1Jet2                -inf                +inf                   -                   -                   1             13.6042             13.6042              1.0000          0.0000e+00          1.0172e-06          2.7186e-07
 40                        DR_Ele2Jet1                -inf                +inf                   -                   -                   1             13.6042             13.6042              1.0000          0.0000e+00          1.0172e-06          2.7186e-07
 41                        DR_Ele2Jet2                -inf                +inf                   -                   -                   1             13.6042             13.6042              1.0000          0.0000e+00          1.0172e-06          2.7186e-07
 42                        DR_Jet1Jet2                -inf                +inf                   -                   -                   1             13.6042             13.6042              1.0000          0.0000e+00          1.0172e-06          2.7186e-07
 43                            sT_eejj            300.0000                +inf                   -                   -                   1             13.6042             13.6042              1.0000          0.0000e+00          1.0172e-06          2.7186e-07
 44                      sT_eejj_bkgCR            300.0000                +inf                   -                   -                   1             13.6042             13.6042              1.0000          0.0000e+00          1.0172e-06          2.7186e-07
 45                            Pt_e1e2             70.0000                +inf                   -                   -                   1             13.6042             12.6485              0.9297          6.6969e-02          9.4576e-07          2.6231e-07
 46                             M_e1e2             50.0000                +inf                   -                   -                   1             12.6485              8.7644              0.6929              0.1247          6.5533e-07          2.1844e-07
 47                             M_e1j1                -inf                +inf                   -                   -                   0              8.7644              8.7644              1.0000          0.0000e+00          6.5533e-07          2.1844e-07
 48                             M_e1j2                -inf                +inf                   -                   -                   0              8.7644              8.7644              1.0000          0.0000e+00          6.5533e-07          2.1844e-07
 49                             M_e2j1                -inf                +inf                   -                   -                   0              8.7644              8.7644              1.0000          0.0000e+00          6.5533e-07          2.1844e-07
 50                             M_e2j2                -inf                +inf                   -                   -                   0              8.7644              8.7644              1.0000          0.0000e+00          6.5533e-07          2.1844e-07
 51                              Masym                -inf                +inf                   -                   -                   0              8.7644              8.7644              1.0000          0.0000e+00          6.5533e-07          2.1844e-07
 52                             MejMin                -inf                +inf                   -                   -                   0              8.7644              8.7644              1.0000          0.0000e+00          6.5533e-07          2.1844e-07
 53                             MejMax                -inf                +inf                   -                   -                   0              8.7644              8.7644              1.0000          0.0000e+00          6.5533e-07          2.1844e-07
 54                              Meejj                -inf                +inf                   -                   -                   0              8.7644              8.7644              1.0000          0.0000e+00          6.5533e-07          2.1844e-07
 55                  trainingSelection                -inf                +inf                   -                   -                   1              8.7644              8.7644              1.0000          0.0000e+00          6.5533e-07          2.1844e-07
 56                     PFMET_Type1_Pt                -inf                +inf                   -                   -                   0              8.7644              8.7644              1.0000          0.0000e+00          6.5533e-07          2.1844e-07
 57                    PFMET_Type1_Phi                -inf                +inf                   -                   -                   0              8.7644              8.7644              1.0000          0.0000e+00          6.5533e-07          2.1844e-07
