# m_LQ [GeV] 	σ (NLO) [pb] 	δ_stat 	δ_scaleUp (%) 	δ_scaleDown (%) 	δ_PDFUp (%) 	δ_PDFDown (%)
1010 	5.167e-03 	2.7e-05 	11.6 	13.6 	8.4 	8.4
1020 	4.770e-03 	2.6e-05 	11.8 	13.7 	8.5 	8.5
1030 	4.399e-03 	2.5e-05 	11.5 	13.6 	8.6 	8.6
1040 	4.139e-03 	2.3e-05 	11.7 	13.7 	8.6 	8.6
1050 	3.851e-03 	2.0e-05 	12.1 	13.8 	8.6 	8.6
1060 	3.579e-03 	1.9e-05 	11.5 	13.6 	8.8 	8.8
1070 	3.306e-03 	1.3e-05 	11.7 	13.7 	8.9 	8.9
1080 	3.102e-03 	1.6e-05 	11.4 	13.6 	8.9 	8.9
1090 	2.897e-03 	1.6e-05 	11.9 	13.8 	9.1 	9.1
1100 	2.696e-03 	1.7e-05 	11.6 	13.7 	9.1 	9.1
1110 	2.529e-03 	1.3e-05 	11.5 	13.7 	9.1 	9.1
1120 	2.347e-03 	1.3e-05 	12.1 	13.9 	9.2 	9.2
1130 	2.178e-03 	1.2e-05 	11.5 	13.7 	9.3 	9.3
1140 	2.038e-03 	1.1e-05 	11.8 	13.8 	9.4 	9.4
1150 	1.915e-03 	1.1e-05 	11.7 	13.8 	9.4 	9.4
1160 	1.768e-03 	9.2e-06 	11.4 	13.7 	9.5 	9.5
1170 	1.649e-03 	8.5e-06 	11.7 	13.8 	9.6 	9.6
1180 	1.527e-03 	7.9e-06 	11.9 	13.9 	9.7 	9.7
1190 	1.447e-03 	7.7e-06 	11.6 	13.8 	9.8 	9.8
1200 	1.346e-03 	7.0e-06 	11.9 	13.9 	9.9 	9.9
1210 	1.271e-03 	8.6e-06 	12.6 	14.2 	9.9 	9.9
1220 	1.169e-03 	6.1e-06 	11.8 	13.9 	10.2 	10.2
1230 	1.114e-03 	6.0e-06 	12.0 	14.0 	10.2 	10.2
1240 	1.037e-03 	5.5e-06 	11.7 	13.9 	10.2 	10.2
1250 	9.656e-04 	4.9e-06 	11.8 	13.9 	10.4 	10.4
1260 	8.998e-04 	4.7e-06 	11.8 	13.9 	10.4 	10.4
