################################## JSON file used at runtime    ###################################################################
### certifiedGolden_11mar2020_2016_2017_2018.json
################################## NO systematics used at runtime ###################################################################
################################## Preliminary Cut Values ###################################################################
########################### variableName                        value1          value2          value3          value4          level
### Preliminary cut values: produceSkim           1                 -               -               -               -1
### Preliminary cut values: eleEta_bar            1.4442           -                -               -               -1
### Preliminary cut values: eleEta_end1           1.566            2.0              -               -               -1
### Preliminary cut values: eleEta_end2           2.000            2.5              -               -               -1
### Preliminary cut values: QCDFakeRateFilename	   /afs/cern.ch/user/e/eipearso/public/plotsToShare/fr2D_2018.root - - - -1
### Preliminary cut values: QCDCalcType            double   -   -   -   -1
### Preliminary cut values: AnalysisYear   2016postVFP  - - - -1
### Preliminary cut values: electronIDType             HEEP  - - - -1
### Preliminary cut values: BTagAlgo       DeepJet  - - - -1
### Preliminary cut values: BTagWP         Medium   - - - -1
### Preliminary cut values: BTagCutValue   0.2598   - - - -1
################################## Cuts #########################################################################################################################################################################################################################
#id                       variableName                min1                max1                min2                max2               level                   N               Npass              EffRel           errEffRel              EffAbs           errEffAbs
  1                             NoCuts                   -                   -                   -                   -                  -1      752524583.0000      752524583.0000              1.0000          0.0000e+00              1.0000          0.0000e+00
 39                        DR_Jet1Jet2                -inf                +inf                   -                   -                   0          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 40                     PFMET_Type1_Pt                -inf                +inf                   -                   -                   0          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 41                    PFMET_Type1_Phi                -inf                +inf                   -                   -                   0          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 42                            Ele1_Pt             50.0000                +inf                   -                   -                   1          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 43                           Ele1_Eta                -inf                +inf                   -                   -                   1          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 44                           Ele1_Phi                -inf                +inf                   -                   -                   1          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 45                            Ele2_Pt             50.0000                +inf                   -                   -                   1          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 46                           Ele2_Eta                -inf                +inf                   -                   -                   1          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 47                           Ele2_Phi                -inf                +inf                   -                   -                   1          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 48                             M_e1j1                -inf                +inf                   -                   -                   0          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 49                             M_e1j2                -inf                +inf                   -                   -                   0          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 50                             M_e2j1                -inf                +inf                   -                   -                   0          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 51                             M_e2j2                -inf                +inf                   -                   -                   0          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 52                            Jet3_Pt                -inf                +inf                   -                   -                   1          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 53                           Jet3_Eta             -2.4000              2.4000                   -                   -                   1          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 54                           Jet3_Phi                -inf                +inf                   -                   -                   1          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 55                              Masym                -inf                +inf                   -                   -                   0          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 56                             MejMin                -inf                +inf                   -                   -                   0          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 57                             MejMax                -inf                +inf                   -                   -                   0          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 58                              Meejj                -inf                +inf                   -                   -                   0          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 59                       Pt_e1e2_skim             50.0000                +inf                   -                   -                   0          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 60                       sT_eejj_skim            200.0000                +inf                   -                   -                   0          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 61                        M_e1e2_skim             40.0000                +inf                   -                   -                   0          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 62                     skim_selection                -inf                +inf                   -                   -                   1          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 63                            Pt_e1e2             70.0000                +inf                   -                   -                   1          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 64                      sT_eejj_bkgCR            300.0000                +inf                   -                   -                   1          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 65                       M_e1e2_bkgCR             50.0000                +inf                   -                   -                   1          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 66                       preselection                -inf                +inf                   -                   -                   1          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 67                            sT_eejj            400.0000                +inf                   -                   -                   1          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 68                             M_e1e2            200.0000                +inf                   -                   -                   1          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
 69                  trainingSelection                -inf                +inf                   -                   -                   1          0.0000e+00          0.0000e+00                -nan                -nan          0.0000e+00                -nan
